check,observed,expected,maximum_absolute_difference,tolerance,passed
file_sha256:cache/bnci2014_001/covariances.npz,c6bd774ac5b3b53c497381433bcc7974af3b54b850a0ac0539aa2f797f6fa997,c6bd774ac5b3b53c497381433bcc7974af3b54b850a0ac0539aa2f797f6fa997,,,True
file_sha256:cache/bnci2014_001_trajectory_within_subject_v1/session1_window_covariances.npz,f9ce45662ab69c80b25ece5989f068f7a0a737157588600b3a1a69fb67890101,f9ce45662ab69c80b25ece5989f068f7a0a737157588600b3a1a69fb67890101,,,True
file_sha256:cache/bnci2014_001_trajectory_within_subject_v1/combined_trajectory_features.npz,5accf2f3e6becce187b18d30a1ea1741ae0d0faafc15a1f8ac16632a5a71628d,5accf2f3e6becce187b18d30a1ea1741ae0d0faafc15a1f8ac16632a5a71628d,,,True
session0_states_content_sha256,c75044f48552f12ad088306b505b074e930f396fdcb544307fff394717e2ca86,c75044f48552f12ad088306b505b074e930f396fdcb544307fff394717e2ca86,,,True
session1_states_content_sha256,1afc8cd52d82310a05857d1ffa67859427c4c9aa1302897a140ebda64d0442f8,1afc8cd52d82310a05857d1ffa67859427c4c9aa1302897a140ebda64d0442f8,,,True
window5_states_reproduce_frozen_AIRM_distance_matrices,681d8a075eff1218e5e2b2d0e292631ead67badaccc00ec075ba428c9d5aed64,681d8a075eff1218e5e2b2d0e292631ead67badaccc00ec075ba428c9d5aed64,0.0,1e-12,True
metadata_all_trials,groups=1;min=5184;max=5184,groups=1;count=5184,,,True
metadata_session,groups=2;min=2592;max=2592,groups=2;count=2592,,,True
metadata_subject_session,groups=18;min=288;max=288,groups=18;count=288,,,True
metadata_subject_session_class,groups=72;min=72;max=72,groups=72;count=72,,,True
metadata_subject_session_run_class,groups=432;min=12;max=12,groups=432;count=12,,,True
run_labels_support_frozen_blocked_halves,"(0, 1, 2, 3, 4, 5)","(0, 1, 2, 3, 4, 5)",,,True
