geometry,template,object,signature,stage,replicate_index,group_statistic
AIRM,session_specific,Z,sensor,C,0,-0.052230530271250401
AIRM,session_specific,Z,sensor,C,1,0.0086415381005211008
AIRM,session_specific,Z,sensor,C,2,0.0184708492733104
AIRM,session_specific,Z,sensor,C,3,0.041273062005946097
AIRM,session_specific,Z,sensor,C,4,0.062628944766116398
AIRM,session_specific,Z,sensor,C,5,-0.12685390965037019
AIRM,session_specific,Z,sensor,C,6,0.019175544604021801
AIRM,session_specific,Z,sensor,C,7,-0.064069705577784394
AIRM,session_specific,Z,sensor,C,8,0.013341707686425199
AIRM,session_specific,Z,sensor,C,9,-0.094601786739527696
AIRM,session_specific,Z,sensor,C,10,0.048121513121122797
AIRM,session_specific,Z,sensor,C,11,0.039272545461451598
AIRM,session_specific,Z,sensor,C,12,-0.047611595781858501
AIRM,session_specific,Z,sensor,C,13,0.0062017478406965997
AIRM,session_specific,Z,sensor,C,14,-0.072553669755333297
AIRM,session_specific,Z,sensor,C,15,-0.033434210402910003
AIRM,session_specific,Z,sensor,C,16,-0.014206484580881799
AIRM,session_specific,Z,sensor,C,17,0.024564285531050101
AIRM,session_specific,Z,sensor,C,18,0.1035646630769345
AIRM,session_specific,Z,sensor,C,19,0.040143635273526102
AIRM,session_specific,Z,sensor,C,20,-0.026855900994715801
AIRM,session_specific,Z,sensor,C,21,-0.039589492232755
AIRM,session_specific,Z,sensor,C,22,0.064448243090992299
AIRM,session_specific,Z,sensor,C,23,-0.0833357520397872
AIRM,session_specific,Z,sensor,C,24,-0.017505433996836999
AIRM,session_specific,Z,sensor,C,25,-0.0144620556076523
AIRM,session_specific,Z,sensor,C,26,-0.0077609003943043004
AIRM,session_specific,Z,sensor,C,27,0.029814449961448799
AIRM,session_specific,Z,sensor,C,28,0.070963039218524607
AIRM,session_specific,Z,sensor,C,29,-0.079441238085377203
AIRM,session_specific,Z,sensor,C,30,0.085721656318239706
AIRM,session_specific,Z,sensor,C,31,0.054714658387149499
AIRM,session_specific,Z,sensor,C,32,-0.094949158531987501
AIRM,session_specific,Z,sensor,C,33,-0.050909120880135002
AIRM,session_specific,Z,sensor,C,34,0.035766123495183599
AIRM,session_specific,Z,sensor,C,35,0.032567284991890502
AIRM,session_specific,Z,sensor,C,36,0.084984723324806805
AIRM,session_specific,Z,sensor,C,37,0.026754213081323201
AIRM,session_specific,Z,sensor,C,38,0.0152714376105221
AIRM,session_specific,Z,sensor,C,39,0.029588921599579501
AIRM,session_specific,Z,sensor,C,40,0.070578979857014196
AIRM,session_specific,Z,sensor,C,41,-0.1020008208559741
AIRM,session_specific,Z,sensor,C,42,0.0262287464670783
AIRM,session_specific,Z,sensor,C,43,-0.083021228004408906
AIRM,session_specific,Z,sensor,C,44,0.041558962271325099
AIRM,session_specific,Z,sensor,C,45,-0.074526899067664201
AIRM,session_specific,Z,sensor,C,46,-0.022847355324100999
AIRM,session_specific,Z,sensor,C,47,-0.074664983596637993
AIRM,session_specific,Z,sensor,C,48,-0.019890338273462101
AIRM,session_specific,Z,sensor,C,49,0.018418564277360001
AIRM,session_specific,Z,sensor,C,50,-0.0273856019670972
AIRM,session_specific,Z,sensor,C,51,0.024202614603270198
AIRM,session_specific,Z,sensor,C,52,0.032609299196411201
AIRM,session_specific,Z,sensor,C,53,0.067527894719652107
AIRM,session_specific,Z,sensor,C,54,-0.075082683192223706
AIRM,session_specific,Z,sensor,C,55,0.060872531460861197
AIRM,session_specific,Z,sensor,C,56,0.042411631086705898
AIRM,session_specific,Z,sensor,C,57,0.040149952099958003
AIRM,session_specific,Z,sensor,C,58,0.012153783435854401
AIRM,session_specific,Z,sensor,C,59,0.0193950271159085
AIRM,session_specific,Z,sensor,C,60,-0.0194688230574461
AIRM,session_specific,Z,sensor,C,61,-0.0044655150995659004
AIRM,session_specific,Z,sensor,C,62,0.046229913882699501
AIRM,session_specific,Z,sensor,C,63,0.023571139558436299
AIRM,session_specific,Z,sensor,C,64,0.00043201111497519998
AIRM,session_specific,Z,sensor,C,65,-0.035938583119036499
AIRM,session_specific,Z,sensor,C,66,-0.080669993520561104
AIRM,session_specific,Z,sensor,C,67,0.039055266532937997
AIRM,session_specific,Z,sensor,C,68,0.038652278589347201
AIRM,session_specific,Z,sensor,C,69,-0.0238892750282193
