omitted_subject,mean_improvement
1,0.20409098595422714
2,0.20448956493903067
3,0.20416507794848604
4,0.20449282481420716
5,0.20413924080730894
6,0.2042778254502309
7,0.20422971226818484
8,0.20412356833722647
9,0.20409098595422714
10,0.20436196170844584
11,0.20454960205738656
12,0.20458610146712536
13,0.20452529183182708
14,0.20418944854732085
15,0.20440862903339865
16,0.20471519434747099
17,0.20413872181447207
18,0.20430013914218781
19,0.20409763863894104
20,0.20452302310216533
21,0.20443613438813382
22,0.20420962914554353
23,0.20416507794848601
24,0.20432162439649545
25,0.20464378383627291
26,0.20433952282037912
27,0.20435852882252498
28,0.20413924080730894
29,0.20461753348669881
30,0.20472367677568096
31,0.2044518154057362
32,0.20443613438813382
33,0.20416507794848604
34,0.20442520167507711
35,0.20440562722032024
36,0.20461753348669881
37,0.20430013914218784
38,0.20478874708515693
39,0.20443613438813382
40,0.20430159339036225
41,0.20464002811853158
42,0.20422134978815706
43,0.20432153583847912
44,0.20413924080730894
45,0.20430013914218784
46,0.20436651593270158
47,0.20423711517578144
48,0.20431442406175693
49,0.20471484792019509
50,0.20432560851124459
51,0.2047637460311332
52,0.20469621336770477
53,0.20430770369387621
54,0.20480810113739503
