session,geometry,object,observed,null_median,effect,p_value,exceedances,replicates
0train,AIRM,D_exact,0.9795198721014751,0.9639527204432033,0.015567151658271716,0.0051299487005129945,512,100000
0train,AIRM,D_tan,0.9795133854028715,0.9639251658897303,0.015588219513141155,0.005099949000509995,509,100000
0train,AIRM,K_exact,0.8734792334298495,0.7703356160486345,0.10314361738121491,0.004179958200417996,417,100000
0train,AIRM,G0,0.873475564007641,0.7702150713563587,0.10326049265128234,0.0041599584004159956,415,100000
0train,AIRM,G,0.8734748135498402,0.7702145360975794,0.10326027745226085,0.0041599584004159956,415,100000
0train,LE,D_exact,0.9783393448967028,0.9576962687745344,0.020643076122168424,0.002979970200297997,297,100000
0train,LE,D_tan,0.9783393448967026,0.9576962687745343,0.020643076122168313,0.002979970200297997,297,100000
0train,LE,K_exact,0.8668751835741578,0.7414951697599359,0.12538001381422192,0.0036699633003669965,366,100000
0train,LE,G0,0.8668751835741577,0.7414951697599357,0.12538001381422204,0.0036699633003669965,366,100000
0train,LE,G,0.8668751835741577,0.7414951697599358,0.12538001381422192,0.0036699633003669965,366,100000
1test,AIRM,D_exact,0.9679464229942034,0.9640707641857218,0.003875658808481619,0.3202867971320287,32028,100000
1test,AIRM,D_tan,0.9679233173067698,0.9640433926592755,0.003879924647494315,0.3202567974320257,32025,100000
1test,AIRM,K_exact,0.8539977972133235,0.7527321543172816,0.1012656428960419,0.017989820101798983,1798,100000
1test,AIRM,G0,0.8539315517943331,0.7525959039843877,0.10133564780994542,0.01797982020179798,1797,100000
1test,AIRM,G,0.8539307749567935,0.752595624286558,0.10133515067023546,0.01797982020179798,1797,100000
1test,LE,D_exact,0.962312038621508,0.9563429214353197,0.005969117186188311,0.26373736262637376,26373,100000
1test,LE,D_tan,0.962312038621508,0.9563429214353196,0.005969117186188422,0.26373736262637376,26373,100000
1test,LE,K_exact,0.8530876461214916,0.7232338029316079,0.1298538431898837,0.004419955800441995,441,100000
1test,LE,G0,0.8530876461214918,0.7232338029316077,0.12985384318988413,0.004419955800441995,441,100000
1test,LE,G,0.8530876461214919,0.7232338029316079,0.12985384318988402,0.004419955800441995,441,100000
