session,geometry,subject,split,shape_norm,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9
0train,AIRM,1,A,4.175793287430832,0.7848645954400847,1.0663176935769823,-0.8896119070939298,-1.286671941980893,1.6352638270147717,-1.220714227099358,-2.1582157487000453,0.6777717301975558,1.151812161154826,1.6214492567008474,0.18795580657752692,0.2553569154839648,-0.21304021675873375,-0.30812634951394385,0.3916055500009849,-0.2923310956923363,-0.5168396997035966,0.1623096938820352,0.2758307420584704,0.38829729948113606
0train,AIRM,1,B,4.6626316364071405,1.2178316028939724,1.2938391558324147,-1.0595867035658169,-1.9565264217658194,1.3668869388084686,-1.0769390860739827,-2.149970116852012,0.5939592932150424,1.2965405016775489,1.9869389685565502,0.2611897524532713,0.2774911802445971,-0.22725078586355946,-0.41961848465332546,0.2931578227487307,-0.23097237141037244,-0.46110657768124763,0.12738713660698414,0.27807054101246076,0.4261410987395983
0train,AIRM,1,F,4.328310649141918,0.9607687779658796,1.1956983122265339,-0.9670145645564633,-1.5874159837740422,1.4611351658399774,-1.1326527282896104,-2.129402751928082,0.6077870482705547,1.2401266061471443,1.7512857997196771,0.22197315669945056,0.27625057653003243,-0.2234161646295357,-0.366751860587628,0.33757631655427633,-0.2616847126058656,-0.4919708691311778,0.14042130926786592,0.28651515722259857,0.40461185475836103
0train,AIRM,2,A,0.8362384322516657,0.2154138310999814,0.0794320674422962,-0.38687171663091624,0.0027984877242791316,0.16660321905311667,-0.16933600237548282,-0.14570859698674657,0.5505319981701944,-0.22236209932624984,0.2582864556720691,0.25759857809925757,0.09498734377516763,-0.4626332654781493,0.0033465189069867185,0.19922932578513383,-0.2024972733189584,-0.17424288500399324,0.6583433347924769,-0.2659075339643443,0.3088669997821122
0train,AIRM,2,B,0.6086803786827688,0.10532381984781576,0.01910755259539978,-0.1562508901148255,-0.011807036950295875,0.159404182072045,-0.23033907080539426,-0.014200037975281765,0.42516040351556944,-0.2146776479155163,0.1701897996489422,0.17303633160599757,0.03139176695123637,-0.2567043321701358,-0.019397761721590585,0.26188487037648217,-0.3784236832208486,-0.023329219197128943,0.6984953325350314,-0.3526935571343621,0.27960454387776723
0train,AIRM,2,F,0.6411708346144739,0.10809389931443883,0.06893216608523287,-0.2436166288480455,0.02181660434254142,0.1233680892212571,-0.18481368279639876,-0.05858730822958994,0.45342692741601365,-0.21281219865244325,0.17648176285389583,0.16858829734423902,0.10750982790207654,-0.3799558802367054,0.03402619577301798,0.19241063779115347,-0.2882440573073234,-0.0913755041038596,0.7071858277656254,-0.3319118512001625,0.2752492055569115
0train,AIRM,3,A,4.2965199531142755,1.63502572005057,0.3920838107071764,-0.6117935901883009,-2.0925657686432273,1.4264178128540288,-0.7296741538606712,-1.6796690733952402,0.4763297998882402,0.6678356808845607,2.1951416983617573,0.38054652088033325,0.09125613635821234,-0.1423928195061332,-0.48703736779494267,0.3319937596984994,-0.1698291086328545,-0.39093710531421,0.11086409584644867,0.15543642021270931,0.5109115568683995
0train,AIRM,3,B,1.7123982313419444,0.7087399930748524,0.028054596729010815,-0.32212633417983766,-0.7082379729518427,0.7125079469054139,-0.43718686069057794,-0.5985061378506783,0.37064332109072523,0.23514438338090604,0.7577354339774798,0.4138873657440294,0.016383219869962985,-0.18811414791488013,-0.41359419788516266,0.4160877615173938,-0.2553067695871015,-0.34951340575822176,0.21644691889238027,0.13731874927050813,0.44249954251802165
0train,AIRM,3,F,2.7311793155032733,1.0427469758305208,0.2139179729840053,-0.41294181308698213,-1.2756430752400758,0.9885717347698378,-0.5579695626921789,-1.0539999649820293,0.379530665089858,0.4341739618726029,1.3402990388303484,0.38179367056255487,0.07832439699939171,-0.15119542343593412,-0.46706676050122825,0.36195782867800247,-0.20429620256894854,-0.3859138647539915,0.13896219224255588,0.15896940907836285,0.4907400371781785
0train,AIRM,4,A,0.36469964106199304,0.15196742279006487,-0.028264866612707676,-0.06160510035854793,-0.1250444233773403,0.15695363378245536,-0.10622958389731181,-0.08747150704886889,0.13439875226932244,-0.022233853969437823,0.16599316442824194,0.41669199988116484,-0.0775017670168288,-0.1689201014269056,-0.34286960912057707,0.43036410270493186,-0.2912796502567835,-0.23984533353023,0.3685190143811434,-0.06096483644648948,0.45515033671235716
