row_cell,S1-left_hand,S1-right_hand,S1-feet,S1-tongue,S2-left_hand,S2-right_hand,S2-feet,S2-tongue,S3-left_hand,S3-right_hand,S3-feet,S3-tongue,S4-left_hand,S4-right_hand,S4-feet,S4-tongue,S5-left_hand,S5-right_hand,S5-feet,S5-tongue,S6-left_hand,S6-right_hand,S6-feet,S6-tongue,S7-left_hand,S7-right_hand,S7-feet,S7-tongue,S8-left_hand,S8-right_hand,S8-feet,S8-tongue,S9-left_hand,S9-right_hand,S9-feet,S9-tongue
S1-left_hand,0.21978509297439522,0.20801282812366959,0.8207199182797718,1.343000705375145,0.8527404203201149,0.9584286386613956,1.524038773994095,1.1365959095355642,0.35155139213434805,0.32714710472006175,1.0707438895625006,1.8350180362089703,0.28115420415261316,0.6585934253649527,1.6671640498642282,1.8387743921415323,0.25784640428613625,0.38232136762043323,0.3535592876433696,0.42537726347566085,0.39055133229846295,0.35898026237935876,0.8953705747433223,0.411310632627634,0.2835557785749067,0.23129670630770038,0.407984467326221,0.7004576986203044,0.3301874605777096,0.40098229251623846,0.36782267189048334,0.9583284708207033,3.3500921126363226,0.5034624348823619,0.4539287335321557,1.273941469975423
S1-right_hand,0.3219138745346015,0.2239021354197386,0.8404110443142232,1.2487670116559195,0.8329950079915123,0.9274188436559423,1.3786391493767844,1.16339763323426,0.36990561975960146,0.33318847963817644,1.0532353672146884,1.8594617141805878,0.24611580418267046,0.7374246042356593,1.5729530513431211,1.8393400368494999,0.25295409719153067,0.31785491172743247,0.3885012194903734,0.4196944382646593,0.39041359374406914,0.3190088183912173,1.0025901107177275,0.4776292256215024,0.3579498584106067,0.2555327725011936,0.2888033261646253,0.7570927970520834,0.4095687792628821,0.3718976046932771,0.4303072751034638,1.0152920653695714,3.2851908037866715,0.4345257690151681,0.40919374540450537,1.2765519229308953
S1-feet,1.0976908682102344,1.1866625896108334,0.38501301158216933,0.32169849278108986,0.2872488949244365,0.33965557556085785,0.3014473552252352,0.36021918071696607,0.8356730050687893,0.921949995335775,0.440541884788458,0.6525487927663552,0.6604015369679161,0.6616997307647856,0.42352251120177153,0.6737562837201284,0.621979341452159,0.4464825112656646,0.5569152096350211,0.40207019634333774,0.5365106883255467,0.6023651343955735,0.6276422881956666,0.8773141562441661,1.0008759318932154,0.8904712987176798,0.7894391648448674,0.5072935901883737,1.2063307674427082,0.9594407878516236,0.7419682396406012,0.4421576765744379,6.328012277540697,0.5195475636346308,1.1458668184365266,0.4418075317361203
S1-tongue,1.5276823169254876,1.6284980501126203,0.38313279402397776,0.36012487380927566,0.38345311876751853,0.38534523254849895,0.3600795953739559,0.30286994262930506,1.213475699811877,1.3381147908178443,0.45076174844742184,0.5227724140290302,1.1538557107796474,0.6846164812392742,0.37651861634540057,0.6449039432329878,1.0228104700437997,0.8653181952634207,0.8888314378376393,0.6051638682641686,0.9084762276954925,1.0355455885095706,0.7939170239874249,1.165332972903028,1.296787990617519,1.3867687355732607,1.3368437444733183,0.6780913579151893,1.4984118578613188,1.3606648347301429,1.0028666200593503,0.3626795858060324,7.713522794487476,0.8306931496423352,1.5162752720989285,0.38909770995405313
S2-left_hand,1.6999201354063616,2.0282351559016396,0.6444685304040261,0.3738917029283185,0.41451277103236744,0.4456962321374569,0.3836370052690738,0.27575206147545134,1.359503614606729,1.4940724265603353,0.48428281178306776,0.2634758047324184,1.3722856478764065,0.9618835096978462,0.3000079959633245,0.3344894154937938,1.2284235149018878,1.0436813769014728,0.9350811482963822,0.8209729441982497,0.9522440507573158,1.171459977353094,0.5984030639559534,1.4127050766516978,1.6085995053289222,1.5836635471536713,1.6595586683926211,0.6244371215773646,1.812965311503947,1.61670397653307,1.2323405607693463,0.4723655904500386,8.306541492447712,1.108592012286651,2.070415488444684,0.44557870836321145
S2-right_hand,1.9590105319726323,2.201858625448038,0.6849997979983145,0.4701539567759867,0.47968972280840355,0.46098627652284296,0.4774140270930881,0.3240100591895101,1.4712478129831008,1.649487202630992,0.5114504273249298,0.299887352294655,1.524775325776934,0.9071448967322218,0.3397008848826195,0.475543038614392,1.3818451931157996,1.2288400725027349,1.1489830597133464,0.9854565484350842,1.1152052778646604,1.378712644728615,0.6659162140950804,1.4688539442072197,1.7358263098112454,1.7650342144204811,1.7769494616715826,0.7158277330912034,1.8876193715038663,1.7014350457356942,1.2807270570704075,0.48877078024083415,8.790625044080715,1.292859152111339,2.1862229877877613,0.5602388044398672
S2-feet,2.8474718449533687,3.166940163392578,1.1922561502854545,0.5921643474332112,0.8878323295537862,0.8803308027789152,0.45804155890346193,0.6437912241063661,2.254823547989248,2.4282217237921104,0.8651231966198499,0.46645724101866787,2.2392005623606535,1.6297786326543997,0.4040632549421474,0.5298047747266892,2.109366673656763,1.760154660023045,1.7826067362228564,1.5447870190063924,1.732540597853314,1.9843281851328778,1.2101379662417582,2.3206071913216966,2.656564149794487,2.5770011980826415,2.4565850328906054,1.2422300884527528,2.936416249802794,2.596294357589838,2.110578583607501,0.9902661104749838,10.199560711258911,1.811637756206799,3.037569026805099,0.805770962030544
S2-tongue,2.1654943691520776,2.3702849032499027,0.7550208730836939,0.40925517414623785,0.5675914377242524,0.5446061525017565,0.33198371142211974,0.40850672228332086,1.5989926633363571,1.7706883408971181,0.5104315863135555,0.3725966857397504,1.60233906676628,1.0980608559215597,0.2711556723393083,0.4802504723014559,1.497622632834903,1.2577795906687865,1.317816314873185,1.040399810998144,1.2228475458307204,1.4304538266160325,0.893212304630158,1.6716863811876945,1.9368274092527378,1.9176408402645944,1.7764913456613343,0.8329270544908445,2.1627009279232845,1.904300573117781,1.4853953120496273,0.6207634006806564,8.853385446913387,1.2739183317742269,2.2333064749149343,0.5728341531236085
S3-left_hand,0.40323571065070496,0.3814126232149583,0.7147908939973705,1.1236772412311917,0.6966552169671588,0.7748413357945055,1.263489713322438,0.9236029575547531,0.21146007510650341,0.2479677475361316,0.7103556473223946,1.4277072282797414,0.3303254921316258,0.48210426943958146,1.3185643062901966,1.5651675632752948,0.29389805487961806,0.420878720494127,0.42703538382116946,0.41516681454163573,0.3485990174677459,0.3923414500557821,0.6792991114342736,0.3769867107139289,0.32105096416950046,0.2916566703965918,0.42095072605614164,0.5218578753774388,0.3803052073589159,0.37702478650408117,0.3254335455906966,0.7980414058727469,3.917127288845321,0.5019649843143508,0.5119996792363687,1.1542861289465465
S3-right_hand,0.431443338972694,0.5146060320183384,0.8405416466356641,1.2222271557057314,0.8283218683760207,0.9112848077865117,1.4126564911390653,0.9755708402837938,0.3074285401369272,0.26006388897587235,0.735239209996305,1.3967041781302103,0.5107984396837055,0.5894324387234408,1.3380901475606686,1.4946847393308018,0.48338031407860016,0.6305058153575378,0.4881787231329399,0.5488664653391627,0.43204123431356645,0.5407018429169705,0.6520404235187459,0.47515660351385175,0.40829428627660647,0.42799655733813635,0.6854197467851022,0.5488081236013587,0.43448717013929367,0.5179300704357354,0.4706242810312587,0.8637096413320782,3.9286487590912818,0.6651982153775092,0.6876970094524668,1.2201280181183092
