field,v1,v1_1,changed,change_class
base parent objects and hashes,f37329542ddee8588072103f73ab737abb14d9e68367c090d3e6bf3fa0776a1d,f37329542ddee8588072103f73ab737abb14d9e68367c090d3e6bf3fa0776a1d,False,SCIENTIFIC
subject/session/class/channel order and feature source,2f78f20d31666fa0b8950af17a1abb50b347bd00c4207714ecb6acb4f4e22d2c,2f78f20d31666fa0b8950af17a1abb50b347bd00c4207714ecb6acb4f4e22d2c,False,SCIENTIFIC
"svec, normalization, and feature rules",700984ffe6037ff5c50401e086b238aa991c04877478ce2a38265d1ce9848307,700984ffe6037ff5c50401e086b238aa991c04877478ce2a38265d1ce9848307,False,SCIENTIFIC
outer and inner folds,b8ce231d6f3c831f201834727daa6e24f384cd6e1d8ea3fdd0294a13e0855cc0,b8ce231d6f3c831f201834727daa6e24f384cd6e1d8ea3fdd0294a13e0855cc0,False,SCIENTIFIC
"rank grids, one-SE selection, and low-rank cap",2c9d7566ed03d3003b77bff384272c7b69e1d876f220d648608b4657df1a1bce,2c9d7566ed03d3003b77bff384272c7b69e1d876f220d648608b4657df1a1bce,False,SCIENTIFIC
"null count, seeds/namespaces, mappings, and selection rerun",8414f6ad3a88b42ac1b91475f2f0675014585cd230fbc68fffceffd439a6f004,8414f6ad3a88b42ac1b91475f2f0675014585cd230fbc68fffceffd439a6f004,False,SCIENTIFIC
"bootstrap count, confidence, and seed namespace",47f507f56fb32e96fdfebf7d4b1aea09ac85f1a548796d28e4bc90cc204b475f,47f507f56fb32e96fdfebf7d4b1aea09ac85f1a548796d28e4bc90cc204b475f,False,SCIENTIFIC
measurement-reliability gates,07bd813382c7dd70d36201006a3e397fa2986e861f4f6b82f7cd40cf3daba399,07bd813382c7dd70d36201006a3e397fa2986e861f4f6b82f7cd40cf3daba399,False,SCIENTIFIC
voting/non-voting declarations,04164e77ae34377e274e4db360147d8af438465776ec543122654725eaa19303,04164e77ae34377e274e4db360147d8af438465776ec543122654725eaa19303,False,SCIENTIFIC
terminal labels,a08430bfb2f444d2eacd07ac114f2d014051d32b924590b55610d1f2dd8f157e,a08430bfb2f444d2eacd07ac114f2d014051d32b924590b55610d1f2dd8f157e,False,SCIENTIFIC
terminal decision function,fa032a11e4974e51b059890f109fd8d6a838780ebe5a5dfb01a61e46c478c3d5,fa032a11e4974e51b059890f109fd8d6a838780ebe5a5dfb01a61e46c478c3d5,False,SCIENTIFIC
secondary failure isolation,global abort,independent non-voting exception boundaries,True,ORCHESTRATION_ONLY
