subject,session,class,transition,speed
1,0train,left_hand,1,1.021282526528141
1,0train,left_hand,2,0.5387816519485372
1,0train,left_hand,3,0.577134591904152
1,0train,left_hand,4,0.4775269213706264
1,0train,right_hand,1,1.0209797935778897
1,0train,right_hand,2,0.5809749961538976
1,0train,right_hand,3,0.4944326751077282
1,0train,right_hand,4,0.48726981261097974
1,0train,feet,1,1.4454467082376232
1,0train,feet,2,0.541458685872081
1,0train,feet,3,0.6520548126159538
1,0train,feet,4,0.6039240004854929
1,0train,tongue,1,1.847620134996418
1,0train,tongue,2,0.5589332522193263
1,0train,tongue,3,0.5752281343444335
1,0train,tongue,4,0.9564697372463673
2,0train,left_hand,1,2.0740896780436167
2,0train,left_hand,2,0.8219713632930971
2,0train,left_hand,3,0.60262956127881
2,0train,left_hand,4,0.5650097430897958
2,0train,right_hand,1,2.2292657341986186
2,0train,right_hand,2,0.76102942641531
2,0train,right_hand,3,0.6248165429178318
2,0train,right_hand,4,0.6903546509655708
2,0train,feet,1,2.868409983929992
2,0train,feet,2,0.6041966813738116
2,0train,feet,3,0.48220770806302843
2,0train,feet,4,0.642433245521766
2,0train,tongue,1,2.454382822810255
2,0train,tongue,2,0.5597049761896485
2,0train,tongue,3,0.48881262016285026
2,0train,tongue,4,0.6044385443257716
3,0train,left_hand,1,1.1890405649813047
3,0train,left_hand,2,0.5882564835958386
3,0train,left_hand,3,0.7129657453766569
3,0train,left_hand,4,0.508580394330567
3,0train,right_hand,1,1.4185666340197243
3,0train,right_hand,2,0.5175217827211965
3,0train,right_hand,3,0.9798018560437505
3,0train,right_hand,4,0.4850045072741583
3,0train,feet,1,1.3179663156426011
3,0train,feet,2,0.5797248203744076
3,0train,feet,3,0.886211740327006
3,0train,feet,4,0.5788087024193272
3,0train,tongue,1,2.259952222285602
3,0train,tongue,2,0.6535095851848869
3,0train,tongue,3,0.8767721939635987
3,0train,tongue,4,0.48690152619364335
4,0train,left_hand,1,1.303650271949395
4,0train,left_hand,2,0.6397436824638615
4,0train,left_hand,3,0.6359653981120673
4,0train,left_hand,4,0.6248287890693759
4,0train,right_hand,1,1.3646071753882092
4,0train,right_hand,2,0.7004139010426278
4,0train,right_hand,3,0.8913367016673386
4,0train,right_hand,4,0.7830117793652217
4,0train,feet,1,1.4896499842755748
4,0train,feet,2,0.7039787039499649
4,0train,feet,3,0.6545809981594436
4,0train,feet,4,0.6096016170609357
4,0train,tongue,1,2.1859161892289225
4,0train,tongue,2,1.0589385556306985
4,0train,tongue,3,0.45264016825534115
4,0train,tongue,4,0.4633109946859666
5,0train,left_hand,1,0.7403211747603204
5,0train,left_hand,2,0.5564969681229724
5,0train,left_hand,3,0.642466375723924
5,0train,left_hand,4,0.5103879880733323
5,0train,right_hand,1,0.6064383571845977
5,0train,right_hand,2,0.5910375066200965
5,0train,right_hand,3,0.8098068443447143
5,0train,right_hand,4,0.5861765747669087
5,0train,feet,1,0.6468377243185158
5,0train,feet,2,0.6786230782964853
5,0train,feet,3,0.4823688641456577
5,0train,feet,4,0.5191649315386566
5,0train,tongue,1,0.849695261366249
5,0train,tongue,2,0.6018758037484943
5,0train,tongue,3,0.7117065328451612
5,0train,tongue,4,0.62450767186983
6,0train,left_hand,1,0.9916466348521091
6,0train,left_hand,2,0.7689709386189693
6,0train,left_hand,3,0.9157961874526388
