subject,session,class,transition,PC1,PC2
1,0train,left_hand,1,-0.7544847927069255,0.34121867143400036
1,0train,left_hand,2,-0.19771095243963005,-0.16420072324447416
1,0train,left_hand,3,0.1484555530806769,-0.14145115618606344
1,0train,left_hand,4,-0.2211765477860924,-0.09351892652331956
1,0train,right_hand,1,-0.670612283730626,0.3516928575038062
1,0train,right_hand,2,0.04817696137486956,-0.1517069331090697
1,0train,right_hand,3,-0.14569453488494827,-0.17680667146711282
1,0train,right_hand,4,0.03613085749463295,-0.13334238094328354
1,0train,feet,1,1.1019150402774238,-0.28376950142707014
1,0train,feet,2,-0.09123076182361475,-0.05441634778115344
1,0train,feet,3,-0.4548197783416204,0.018029781043532516
1,0train,feet,4,-0.15069744102983404,0.02227104147040089
1,0train,tongue,1,1.5181065813701518,-0.17601128999459925
1,0train,tongue,2,-0.40191341007605447,-0.034266569183775165
1,0train,tongue,3,-0.37359515997047377,-0.005552050947003203
1,0train,tongue,4,-0.9217211596673058,0.06300236650016496
2,0train,left_hand,1,1.7506695823069203,0.2640499072301016
2,0train,left_hand,2,-0.6569321473785162,-0.35046783307049256
2,0train,left_hand,3,0.119215162231372,0.022673132592354404
2,0train,left_hand,4,-0.2891879487283989,-0.4121709534741675
2,0train,right_hand,1,1.9499389876670024,-0.08040770993477503
2,0train,right_hand,2,-0.45645327721214185,0.0596283906309354
2,0train,right_hand,3,0.2613772382712465,-0.0951513327009909
2,0train,right_hand,4,-0.49376897823342314,-0.36970814600236857
2,0train,feet,1,2.5964598480145358,0.032411601641463825
2,0train,feet,2,-0.4226679949668937,0.07372328260754829
2,0train,feet,3,-0.21181020204596787,-0.1349337216774286
2,0train,feet,4,-0.1866939569890665,-0.33307647416140784
2,0train,tongue,1,2.112259511412531,0.4383755039258815
2,0train,tongue,2,-0.2249906914715226,-0.0732607902159957
2,0train,tongue,3,-0.20320806126838936,-0.12133951283735975
2,0train,tongue,4,-0.39332145965377885,-0.2801643293543675
3,0train,left_hand,1,-0.2657839489806328,0.8951121891643024
3,0train,left_hand,2,0.06251373364748297,-0.21545553476737114
3,0train,left_hand,3,0.3456743782074123,-0.027632097885028812
3,0train,left_hand,4,-0.28776557318034357,0.0017754737758866464
3,0train,right_hand,1,-0.2427592629317029,1.079027129959007
3,0train,right_hand,2,-0.1952580257760863,-0.25049769891370505
3,0train,right_hand,3,0.6303025455318155,0.006484167761558152
3,0train,right_hand,4,-0.2821603282265322,-0.07131536886345606
3,0train,feet,1,0.42235526638566395,0.6170094027559071
3,0train,feet,2,-0.05076014221936049,-0.15532589680217487
3,0train,feet,3,0.5185378894747573,0.14194572924018792
3,0train,feet,4,-0.06550897324699387,-0.23645527569892016
3,0train,tongue,1,1.8352430899803525,0.5682050839691087
3,0train,tongue,2,-0.30200243402361676,-0.13252295335758482
3,0train,tongue,3,0.48653302004080123,0.08885460465028988
3,0train,tongue,4,-0.16781270367833467,-0.1182792181168376
4,0train,left_hand,1,0.9861924616956605,-0.16587095369573612
4,0train,left_hand,2,-0.33450362293341845,0.10173184675168881
4,0train,left_hand,3,0.2799973179012863,-0.10032182278809973
4,0train,left_hand,4,-0.418327125352439,-0.2956459285637228
4,0train,right_hand,1,1.0039263974192514,0.02798825360792691
4,0train,right_hand,2,-0.4277966370032242,0.15127652314940263
4,0train,right_hand,3,0.5556696016811353,-0.09794938282898044
4,0train,right_hand,4,-0.6465684922300987,-0.4327485157304955
4,0train,feet,1,0.8148952007199018,0.7466064084248362
4,0train,feet,2,-0.43795472332416446,-0.4760777758549186
4,0train,feet,3,0.1789434005406065,0.020732826827508606
4,0train,feet,4,-0.4042498720194907,-0.322178391296706
4,0train,tongue,1,1.7914779833149763,0.5351136937222133
4,0train,tongue,2,-1.0149060049879872,-0.15921725414773363
4,0train,tongue,3,-0.02275908121545347,-0.13592466819358953
4,0train,tongue,4,-0.28741842867016937,-0.13434701088137813
5,0train,left_hand,1,-0.5360340847258181,0.016412778484214973
5,0train,left_hand,2,0.12174799222847303,-0.26617166054003166
5,0train,left_hand,3,0.2271563407664515,-0.11915583793008248
5,0train,left_hand,4,-0.14228117438964824,-0.21639568857029712
5,0train,right_hand,1,-0.1627388764045918,0.07971016781875644
5,0train,right_hand,2,-0.008175561940612475,-0.38836290773003085
5,0train,right_hand,3,0.38782905171473825,-0.09631030565708854
5,0train,right_hand,4,-0.4577311457062301,-0.1741244697524239
5,0train,feet,1,-0.18873693471989245,-0.15754671438240014
5,0train,feet,2,-0.37559251612761335,-0.048167513660184014
5,0train,feet,3,0.01997695614044378,-0.13459633723769707
5,0train,feet,4,-0.07883245040240888,-0.03339545581356868
5,0train,tongue,1,0.21432455676996315,0.12580083397460487
5,0train,tongue,2,-0.3804013425060874,-0.3178695906070117
5,0train,tongue,3,0.3158543629855072,-0.12329871227631199
