position_0,position_1,position_2,position_3,position_4,trial_uid
4,1,2,3,0,S01_0train_T001
2,0,1,3,4,S01_0train_T002
1,3,0,4,2,S01_0train_T003
0,1,4,3,2,S01_0train_T004
0,4,3,2,1,S01_0train_T005
3,4,2,1,0,S01_0train_T006
4,1,2,0,3,S01_0train_T007
4,2,0,1,3,S01_0train_T008
3,4,0,1,2,S01_0train_T009
1,2,4,3,0,S01_0train_T010
1,4,2,0,3,S01_0train_T011
4,2,0,1,3,S01_0train_T012
4,3,0,2,1,S01_0train_T013
3,1,4,0,2,S01_0train_T014
3,1,4,0,2,S01_0train_T015
1,3,4,2,0,S01_0train_T016
2,3,4,1,0,S01_0train_T017
0,2,1,3,4,S01_0train_T018
3,4,0,2,1,S01_0train_T019
0,1,3,2,4,S01_0train_T020
1,2,3,0,4,S01_0train_T021
1,4,0,3,2,S01_0train_T022
0,1,4,2,3,S01_0train_T023
3,2,1,4,0,S01_0train_T024
1,2,0,3,4,S01_0train_T025
2,4,1,3,0,S01_0train_T026
4,3,2,0,1,S01_0train_T027
0,4,3,1,2,S01_0train_T028
3,2,1,0,4,S01_0train_T029
0,4,2,1,3,S01_0train_T030
0,1,3,2,4,S01_0train_T031
4,2,3,1,0,S01_0train_T032
3,1,0,2,4,S01_0train_T033
0,2,3,1,4,S01_0train_T034
2,1,4,0,3,S01_0train_T035
0,4,2,1,3,S01_0train_T036
2,0,4,3,1,S01_0train_T037
2,4,3,0,1,S01_0train_T038
4,3,0,1,2,S01_0train_T039
2,3,1,0,4,S01_0train_T040
0,2,3,4,1,S01_0train_T041
0,3,2,1,4,S01_0train_T042
0,1,4,2,3,S01_0train_T043
3,1,2,0,4,S01_0train_T044
4,2,0,1,3,S01_0train_T045
1,3,0,2,4,S01_0train_T046
3,4,2,1,0,S01_0train_T047
1,2,0,4,3,S01_0train_T048
2,0,1,4,3,S01_0train_T049
1,4,3,0,2,S01_0train_T050
3,4,1,2,0,S01_0train_T051
4,2,3,0,1,S01_0train_T052
1,2,3,0,4,S01_0train_T053
3,0,4,2,1,S01_0train_T054
1,0,4,2,3,S01_0train_T055
4,2,0,1,3,S01_0train_T056
3,0,2,1,4,S01_0train_T057
2,3,4,1,0,S01_0train_T058
0,4,3,2,1,S01_0train_T059
3,0,1,4,2,S01_0train_T060
1,4,0,2,3,S01_0train_T061
2,1,0,4,3,S01_0train_T062
0,1,3,2,4,S01_0train_T063
2,0,4,1,3,S01_0train_T064
0,3,1,2,4,S01_0train_T065
2,0,3,1,4,S01_0train_T066
4,1,0,3,2,S01_0train_T067
3,1,4,2,0,S01_0train_T068
0,1,3,4,2,S01_0train_T069
1,4,3,2,0,S01_0train_T070
1,3,0,2,4,S01_0train_T071
4,3,1,0,2,S01_0train_T072
0,2,4,1,3,S01_0train_T073
1,3,0,4,2,S01_0train_T074
3,4,2,0,1,S01_0train_T075
4,3,1,2,0,S01_0train_T076
3,4,2,1,0,S01_0train_T077
0,2,4,1,3,S01_0train_T078
3,1,4,0,2,S01_0train_T079
2,1,3,0,4,S01_0train_T080
0,4,2,3,1,S01_0train_T081
4,0,3,2,1,S01_0train_T082
0,3,4,1,2,S01_0train_T083
1,0,3,4,2,S01_0train_T084
4,3,2,0,1,S01_0train_T085
3,2,0,4,1,S01_0train_T086
3,4,1,0,2,S01_0train_T087
1,0,3,2,4,S01_0train_T088
4,0,3,2,1,S01_0train_T089
4,1,3,2,0,S01_0train_T090
0,4,3,2,1,S01_0train_T091
4,0,1,2,3,S01_0train_T092
3,0,1,2,4,S01_0train_T093
4,3,1,0,2,S01_0train_T094
4,2,0,3,1,S01_0train_T095
2,3,0,1,4,S01_0train_T096
2,3,1,0,4,S01_0train_T097
3,4,0,2,1,S01_0train_T098
0,2,4,1,3,S01_0train_T099
0,2,4,1,3,S01_0train_T100
4,3,2,1,0,S01_0train_T101
0,2,3,4,1,S01_0train_T102
4,2,3,0,1,S01_0train_T103
0,2,3,4,1,S01_0train_T104
0,1,3,4,2,S01_0train_T105
1,4,3,0,2,S01_0train_T106
0,1,2,4,3,S01_0train_T107
4,0,2,1,3,S01_0train_T108
2,0,4,1,3,S01_0train_T109
4,0,3,2,1,S01_0train_T110
1,2,3,4,0,S01_0train_T111
0,4,3,1,2,S01_0train_T112
1,0,3,4,2,S01_0train_T113
1,4,3,0,2,S01_0train_T114
0,1,3,2,4,S01_0train_T115
0,3,2,1,4,S01_0train_T116
2,0,1,3,4,S01_0train_T117
2,4,3,0,1,S01_0train_T118
0,4,1,2,3,S01_0train_T119
1,0,4,3,2,S01_0train_T120
2,1,0,3,4,S01_0train_T121
1,0,4,3,2,S01_0train_T122
3,2,1,0,4,S01_0train_T123
1,3,0,4,2,S01_0train_T124
2,4,3,1,0,S01_0train_T125
3,4,2,0,1,S01_0train_T126
4,1,0,3,2,S01_0train_T127
3,2,0,1,4,S01_0train_T128
1,2,4,0,3,S01_0train_T129
0,1,4,3,2,S01_0train_T130
2,4,1,3,0,S01_0train_T131
0,2,4,3,1,S01_0train_T132
3,1,0,2,4,S01_0train_T133
2,4,0,1,3,S01_0train_T134
2,3,1,4,0,S01_0train_T135
0,2,4,1,3,S01_0train_T136
4,0,3,1,2,S01_0train_T137
1,0,3,2,4,S01_0train_T138
0,2,4,3,1,S01_0train_T139
0,3,1,2,4,S01_0train_T140
2,0,3,1,4,S01_0train_T141
4,1,2,3,0,S01_0train_T142
2,1,3,0,4,S01_0train_T143
4,2,1,3,0,S01_0train_T144
1,3,0,4,2,S01_0train_T145
3,2,4,0,1,S01_0train_T146
2,1,4,0,3,S01_0train_T147
0,4,3,1,2,S01_0train_T148
0,4,1,3,2,S01_0train_T149
2,1,3,0,4,S01_0train_T150
1,4,3,0,2,S01_0train_T151
1,4,3,2,0,S01_0train_T152
4,3,1,0,2,S01_0train_T153
1,0,4,3,2,S01_0train_T154
2,4,3,1,0,S01_0train_T155
4,2,3,1,0,S01_0train_T156
3,2,0,4,1,S01_0train_T157
2,4,3,1,0,S01_0train_T158
0,3,1,4,2,S01_0train_T159
2,3,1,0,4,S01_0train_T160
0,3,2,4,1,S01_0train_T161
1,4,2,3,0,S01_0train_T162
4,3,0,1,2,S01_0train_T163
1,4,0,2,3,S01_0train_T164
3,0,2,4,1,S01_0train_T165
1,3,2,4,0,S01_0train_T166
0,3,2,4,1,S01_0train_T167
2,3,4,1,0,S01_0train_T168
3,1,0,2,4,S01_0train_T169
3,1,4,2,0,S01_0train_T170
4,1,0,3,2,S01_0train_T171
2,3,1,0,4,S01_0train_T172
1,4,2,0,3,S01_0train_T173
4,0,1,3,2,S01_0train_T174
4,2,1,0,3,S01_0train_T175
4,3,1,2,0,S01_0train_T176
2,0,3,1,4,S01_0train_T177
1,4,0,3,2,S01_0train_T178
4,3,1,0,2,S01_0train_T179
1,0,4,3,2,S01_0train_T180
0,2,1,4,3,S01_0train_T181
1,3,4,0,2,S01_0train_T182
0,1,2,4,3,S01_0train_T183
2,0,3,1,4,S01_0train_T184
0,3,1,4,2,S01_0train_T185
1,4,3,2,0,S01_0train_T186
1,0,4,2,3,S01_0train_T187
3,0,4,1,2,S01_0train_T188
4,3,2,1,0,S01_0train_T189
4,0,3,1,2,S01_0train_T190
3,0,1,4,2,S01_0train_T191
4,1,3,2,0,S01_0train_T192
2,0,1,4,3,S01_0train_T193
3,2,1,4,0,S01_0train_T194
2,3,1,0,4,S01_0train_T195
0,3,2,4,1,S01_0train_T196
4,1,3,0,2,S01_0train_T197
2,1,0,4,3,S01_0train_T198
1,0,3,4,2,S01_0train_T199
1,2,0,3,4,S01_0train_T200
0,4,3,1,2,S01_0train_T201
4,0,2,1,3,S01_0train_T202
3,0,1,2,4,S01_0train_T203
1,4,0,3,2,S01_0train_T204
1,2,0,3,4,S01_0train_T205
4,0,3,2,1,S01_0train_T206
0,2,3,4,1,S01_0train_T207
2,1,3,0,4,S01_0train_T208
0,2,3,4,1,S01_0train_T209
2,4,1,3,0,S01_0train_T210
2,4,0,1,3,S01_0train_T211
4,1,0,2,3,S01_0train_T212
4,2,0,3,1,S01_0train_T213
4,0,2,3,1,S01_0train_T214
0,1,4,3,2,S01_0train_T215
3,1,0,2,4,S01_0train_T216
3,2,1,0,4,S01_0train_T217
2,1,4,0,3,S01_0train_T218
1,0,2,3,4,S01_0train_T219
2,3,0,1,4,S01_0train_T220
2,3,0,4,1,S01_0train_T221
0,1,3,2,4,S01_0train_T222
1,0,2,4,3,S01_0train_T223
2,3,1,4,0,S01_0train_T224
0,1,2,4,3,S01_0train_T225
3,0,2,4,1,S01_0train_T226
0,1,2,4,3,S01_0train_T227
1,4,0,3,2,S01_0train_T228
1,4,0,2,3,S01_0train_T229
2,0,3,1,4,S01_0train_T230
0,1,4,3,2,S01_0train_T231
3,4,1,2,0,S01_0train_T232
4,2,0,1,3,S01_0train_T233
2,0,3,4,1,S01_0train_T234
0,3,2,4,1,S01_0train_T235
3,4,0,2,1,S01_0train_T236
3,0,2,1,4,S01_0train_T237
4,3,1,2,0,S01_0train_T238
2,4,1,3,0,S01_0train_T239
3,4,1,0,2,S01_0train_T240
4,0,1,3,2,S01_0train_T241
2,1,3,0,4,S01_0train_T242
4,3,2,0,1,S01_0train_T243
2,0,4,1,3,S01_0train_T244
3,2,0,1,4,S01_0train_T245
4,3,0,2,1,S01_0train_T246
2,4,0,1,3,S01_0train_T247
2,3,4,0,1,S01_0train_T248
3,0,1,2,4,S01_0train_T249
1,2,0,3,4,S01_0train_T250
1,4,2,3,0,S01_0train_T251
1,4,2,3,0,S01_0train_T252
0,1,2,4,3,S01_0train_T253
0,3,4,2,1,S01_0train_T254
4,2,3,0,1,S01_0train_T255
1,4,3,0,2,S01_0train_T256
2,4,1,3,0,S01_0train_T257
2,1,0,3,4,S01_0train_T258
2,0,1,3,4,S01_0train_T259
1,0,2,3,4,S01_0train_T260
4,0,2,3,1,S01_0train_T261
4,0,1,3,2,S01_0train_T262
4,2,0,3,1,S01_0train_T263
3,2,1,0,4,S01_0train_T264
0,3,4,2,1,S01_0train_T265
4,3,0,1,2,S01_0train_T266
4,0,3,2,1,S01_0train_T267
1,0,2,3,4,S01_0train_T268
1,2,3,0,4,S01_0train_T269
4,3,2,0,1,S01_0train_T270
0,1,4,2,3,S01_0train_T271
3,1,4,0,2,S01_0train_T272
0,4,2,1,3,S01_0train_T273
3,2,4,1,0,S01_0train_T274
3,1,2,0,4,S01_0train_T275
4,2,1,0,3,S01_0train_T276
0,1,3,4,2,S01_0train_T277
1,2,3,4,0,S01_0train_T278
0,1,3,2,4,S01_0train_T279
1,0,4,2,3,S01_0train_T280
4,0,1,3,2,S01_0train_T281
3,0,1,4,2,S01_0train_T282
0,2,4,3,1,S01_0train_T283
1,4,0,3,2,S01_0train_T284
1,4,3,0,2,S01_0train_T285
0,3,4,1,2,S01_0train_T286
1,3,4,2,0,S01_0train_T287
3,1,4,0,2,S01_0train_T288
0,4,2,3,1,S01_1test_T001
3,4,2,0,1,S01_1test_T002
1,4,2,0,3,S01_1test_T003
1,3,0,4,2,S01_1test_T004
2,0,1,3,4,S01_1test_T005
4,2,1,3,0,S01_1test_T006
2,3,1,0,4,S01_1test_T007
0,4,3,1,2,S01_1test_T008
3,2,1,0,4,S01_1test_T009
0,3,4,1,2,S01_1test_T010
1,2,4,0,3,S01_1test_T011
4,1,3,2,0,S01_1test_T012
1,0,3,4,2,S01_1test_T013
4,2,3,0,1,S01_1test_T014
4,1,0,3,2,S01_1test_T015
4,1,3,0,2,S01_1test_T016
0,1,4,3,2,S01_1test_T017
0,1,3,4,2,S01_1test_T018
0,1,2,4,3,S01_1test_T019
3,4,1,2,0,S01_1test_T020
2,1,4,3,0,S01_1test_T021
0,1,3,4,2,S01_1test_T022
4,2,0,3,1,S01_1test_T023
3,0,2,1,4,S01_1test_T024
3,0,4,2,1,S01_1test_T025
0,2,4,3,1,S01_1test_T026
1,3,4,0,2,S01_1test_T027
0,1,2,4,3,S01_1test_T028
4,2,3,0,1,S01_1test_T029
2,1,4,3,0,S01_1test_T030
3,1,0,2,4,S01_1test_T031
1,2,4,0,3,S01_1test_T032
3,1,2,4,0,S01_1test_T033
