protocol_version,protocol_sha256,config_sha256,code_commit,phase,session,status,geometry,object,stage,subject,influence,subject_score,subject_effect,discovery_subject_effect,confirmatory_subject_effect,discovery_confirmatory_effect_delta,airm_minus_le_subject_effect_delta,row_type,observed_median,ci_low,ci_high,replicates,discovery_confirmatory_effect_delta_median,discovery_confirmatory_effect_delta_ci_low,discovery_confirmatory_effect_delta_ci_high,airm_minus_le_effect_delta_median,airm_minus_le_effect_delta_ci_low,airm_minus_le_effect_delta_ci_high
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,S,2.0,0.002969441088850333,0.9383903693495439,-0.025122202806164062,-0.025122202806164062,,,0.005669322037981206,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,S,3.0,-0.0044099931182010055,0.9914799054941912,0.017650397805397122,0.017650397805397122,,,-0.00637115284340084,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,S,4.0,-0.0044099931182010055,0.9854587542791757,0.005200963336146391,0.005200963336146391,,,0.0001672340423357621,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,S,5.0,-0.0044099931182010055,0.9928715601203794,0.00819685122958247,0.00819685122958247,,,0.0014187712438724631,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,S,6.0,-0.0014405520293506724,0.9795198721014751,-3.954458708466113e-05,-3.954458708466113e-05,,,-0.002446300034341653,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,S,7.0,-0.0044099931182010055,0.989490867176662,0.036488481856745913,0.036488481856745913,,,-0.004860959412100296,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,S,8.0,0.002969441088850333,0.9557482277326371,0.010076064237501625,0.010076064237501625,,,-0.0032795377599855735,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,S,9.0,0.002969441088850333,0.970699885865073,0.028557860346710595,0.028557860346710595,,,-0.005147066999036776,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,1.0,0.021739130434782594,0.9130434782608695,0.4347826086956521,0.4347826086956521,,,0.0,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,2.0,0.021739130434782594,0.34782608695652173,-0.17391304347826086,-0.17391304347826086,,,0.0,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,3.0,0.0,0.9565217391304348,0.4347826086956522,0.4347826086956522,,,-0.04347826086956519,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,4.0,0.021739130434782594,0.9130434782608695,0.3913043478260869,0.3913043478260869,,,0.0,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,5.0,0.0,1.0,0.4782608695652174,0.4782608695652174,,,0.0,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,6.0,0.021739130434782594,0.6956521739130435,0.17391304347826086,0.17391304347826086,,,-0.13043478260869568,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,7.0,0.0,1.0,0.5217391304347826,0.5217391304347826,,,0.0,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,8.0,0.021739130434782594,0.8695652173913043,0.3913043478260869,0.3913043478260869,,,0.0,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,D,P,9.0,0.0,1.0,0.5217391304347826,0.5217391304347826,,,0.0,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,1.0,-0.002069962902915279,0.9811496338095886,0.13455652965191423,0.13455652965191423,,,-0.02489120714989146,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,2.0,0.007908654479576338,0.9390826734910847,0.006980327251912444,0.006980327251912444,,,-0.005997230624738115,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,3.0,-0.002069962902915279,0.9767841018786017,0.12589324275145963,0.12589324275145963,,,-0.03671562106990578,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,4.0,0.007908654479576338,0.865719368394288,-0.06426714364849329,-0.06426714364849329,,,0.0009678820477478922,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,5.0,0.007908654479576338,0.8842664733330304,-0.0412839910815328,-0.0412839910815328,,,-0.0007367475449832073,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,6.0,0.007908654479576338,0.8717025742921622,-0.03743819063138143,-0.03743819063138143,,,-0.027795561328200602,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,7.0,-0.002069962902915279,0.9864440137002211,0.06527336037330755,0.06527336037330755,,,-0.014601681870012762,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,8.0,-0.002069962902915279,0.9590399082560679,0.0630513868089182,0.0630513868089182,,,-0.029705251266294197,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,R,9.0,0.005838691576661059,0.9432225992969152,0.0673188500673011,0.0673188500673011,,,-0.03945949987467534,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,S,1.0,0.02471755684004595,0.8496181133895795,0.22401975485427628,0.22401975485427628,,,-0.014010924489945231,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,S,2.0,0.02471755684004595,0.6384486693576397,-0.1520481971598462,-0.1520481971598462,,,0.02428395637385372,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,S,3.0,-0.0026691784164379895,0.9561207584011466,0.1681494044351468,0.1681494044351468,,,-0.03754042055366558,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,S,4.0,-0.0026691784164379895,0.922909927229932,0.08212042665360075,0.08212042665360075,,,-0.005819665116701733,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,S,5.0,-0.0026691784164379895,0.9529853533680025,0.0826406512556409,0.0826406512556409,,,0.008442281851344213,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,S,6.0,0.02471755684004595,0.8681364567169643,0.05392974459002409,0.05392974459002409,,,-0.0226391135822277,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,S,7.0,-0.0026691784164379895,0.9442500839406327,0.25360487497065165,0.25360487497065165,,,-0.018073299153398503,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,S,8.0,0.02471755684004595,0.7715927673154668,0.034442670745756354,0.034442670745756354,,,-0.01569053008025234,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,S,9.0,0.02204837842360785,0.8734748135498402,0.18492398370306218,0.18492398370306218,,,-0.016692485303378746,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,P,1.0,0.0434782608695653,0.9130434782608695,0.4347826086956521,0.4347826086956521,,,0.0,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,P,2.0,0.0434782608695653,0.34782608695652173,-0.17391304347826086,-0.17391304347826086,,,-0.04347826086956519,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,P,3.0,0.0,1.0,0.4782608695652174,0.4782608695652174,,,0.0,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,P,4.0,0.0434782608695653,0.9130434782608695,0.3913043478260869,0.3913043478260869,,,0.0,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,P,5.0,0.0,1.0,0.4782608695652174,0.4782608695652174,,,0.0,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,P,6.0,0.0434782608695653,0.6956521739130435,0.17391304347826086,0.17391304347826086,,,-0.13043478260869568,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,P,7.0,0.0,1.0,0.5217391304347826,0.5217391304347826,,,0.0,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,P,8.0,0.0434782608695653,0.9130434782608695,0.4347826086956521,0.4347826086956521,,,0.0,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,G,P,9.0,0.0,1.0,0.5217391304347826,0.5217391304347826,,,0.0,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,1.0,0.0005371858827701859,0.9832038731808237,0.0056987876279036564,0.013684564834955726,0.0056987876279036564,-0.00798577720705207,-0.005340280359024563,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,2.0,0.0005371858827701859,0.9858880463202615,0.011444674416023704,0.0014672931846332338,0.011444674416023704,0.00997738123139047,0.0016263769205439038,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,3.0,-0.0005132979320776609,0.9967807166322356,0.01153046857053408,0.01321219065307866,0.01153046857053408,-0.0016817220825445789,-0.001977560195662087,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,4.0,-0.0005132979320776609,0.9967967862757547,0.007822411030708798,-0.012887611369931884,0.007822411030708798,0.020710022400640682,-0.004707359395514921,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,5.0,0.0005371858827701859,0.9946797490025399,0.0016870396283377165,-0.007701613095940973,0.0016870396283377165,0.00938865272427869,-0.0009687761721853816,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,6.0,0.0005371858827701859,0.9828103185075493,-0.007454462942376394,-0.008822190417874132,-0.007454462942376394,0.0013677274754977375,0.0009625611471028028,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,7.0,2.3887950692524917e-05,0.9957063448666952,0.004837724197575111,0.00627546825021974,0.004837724197575111,-0.0014377440526446295,-0.0018843433614816885,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,8.0,-0.0005132979320776609,0.9996158857771025,0.011830540630948128,0.003839725625974455,0.011830540630948128,0.007990815004973673,-0.00422821087846148,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,9.0,-0.0005132979320776609,0.9997805492783768,0.023067368462894033,-0.0009682107761894709,0.023067368462894033,0.024035579239083504,-0.007280377692081896,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,S,1.0,0.0012226311702843162,0.956042304155765,0.02819678049879981,0.03194789149727928,0.02819678049879981,-0.0037511109984794677,-0.003963478459590664,subject,,,,,,,,,,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,S,2.0,0.0012226311702843162,0.9665907896428715,-0.01235797273865813,-0.025122202806164062,-0.01235797273865813,0.012764230067505933,0.0006483363940684717,subject,,,,,,,,,,
