subject,window_pair,n_transitions,mean_transition_magnitude,std_transition_magnitude,median_transition_magnitude
1,all,1152,3.2396772219352497,0.49725873963285133,3.1628469235195356
1,1->2,288,3.3163354390025637,0.4934208505663325,3.234509448019352
1,2->3,288,3.2185747484785914,0.5233189296952356,3.1352377324176963
1,3->4,288,3.213309817949987,0.5122672295646173,3.1318803948236704
1,4->5,288,3.2104888823098556,0.4516732390887437,3.132746864963586
2,all,1152,3.4454954264170516,0.6289385739181373,3.3219960125405814
2,1->2,288,3.745026217836786,0.7108072437004509,3.6635182550694996
2,2->3,288,3.3429761590068434,0.5541436969410484,3.2292981861733825
2,3->4,288,3.3365065726847996,0.5807428980571238,3.241078194263057
2,4->5,288,3.357472756139776,0.5626119200711771,3.2614535104195914
3,all,1152,3.2082725879996414,0.5303322698500668,3.1242967802791535
3,1->2,288,3.3609619355602516,0.6112325721863747,3.246270205693416
3,2->3,288,3.174713167938152,0.45573192626943626,3.1089820007217996
3,3->4,288,3.13620880492402,0.50748156984748,3.0492641621686016
3,4->5,288,3.161206443576143,0.5071046661881204,3.093298118515312
4,all,1152,3.2132088579909013,0.4845698863999421,3.1334881483837513
4,1->2,288,3.3288668564975024,0.5161216453371463,3.232262345097655
4,2->3,288,3.2206860703023588,0.49126398974894697,3.130976343570005
4,3->4,288,3.1604727030029776,0.44451433036714766,3.099546500212199
4,4->5,288,3.1428098021607673,0.46381883838354165,3.037518867193329
5,all,1152,3.0510141144413225,0.46889972356789383,2.9690851067110327
5,1->2,288,3.0333322932406026,0.45045347564174787,2.951927053695579
5,2->3,288,3.0458938918734013,0.461977707190097,2.969420122293047
5,3->4,288,3.0390425748186667,0.47141537973926617,2.9441718763382867
5,4->5,288,3.08578769783262,0.4914311663700238,3.0202270745050606
6,all,1152,3.733384935416053,0.5495313490746921,3.6404034458125567
6,1->2,288,3.7008416698734896,0.4765865346277009,3.618779944989579
6,2->3,288,3.700374374978343,0.5667605976152805,3.615424754976509
6,3->4,288,3.715720121978891,0.5793653048545162,3.6199323724662715
6,4->5,288,3.816603574833488,0.5636134662736764,3.713963480124228
7,all,1152,3.333491786291878,0.40459660088414645,3.2711671838166025
7,1->2,288,3.4117987229883675,0.3970012835443946,3.3534333222962767
7,2->3,288,3.3556755042562707,0.43773711897863943,3.292536175005904
7,3->4,288,3.2879445529654854,0.3728025022890938,3.2443697511085947
7,4->5,288,3.2785483649573886,0.3956526378754584,3.197457278200141
8,all,1152,3.3508169017860983,0.5447553736148619,3.269019419373072
8,1->2,288,3.37085377315283,0.5368497865058867,3.2893096172862677
8,2->3,288,3.3175812277992622,0.5559715863769856,3.2282882988059542
8,3->4,288,3.315872404923807,0.5107289034123526,3.2714196229753343
8,4->5,288,3.3989602012684927,0.5717665625586931,3.3282285226053956
9,all,1152,4.15523256428143,0.7289021634328942,4.032428227548495
9,1->2,288,4.31580653353523,0.7341350071754054,4.1792070933979275
9,2->3,288,4.0492754817257985,0.6712659858962488,3.9468968809628757
9,3->4,288,4.119003469170291,0.7677706836337488,4.024845184894838
9,4->5,288,4.136844772694404,0.7161890610750518,4.000976414121935
