replicate,null_statistic
0,0.27400362291015368
1,0.23962004648290619
2,0.072166870231937755
3,-0.05857895813004077
4,0.0032552983064904357
5,-0.03104767567504987
6,-0.02376749532891085
7,0.060457568954886909
8,-0.017215938018193579
9,0.034882058683753138
10,-0.13269510957205699
11,0.011073728181513955
12,-0.0075334997166975719
13,0.0062492606805321024
14,-0.028138266719730121
15,0.021652440702438335
16,0.092088056127159257
17,0.026781948752299452
18,0.10878993220206484
19,0.072815938738160946
20,0.0069652583052785249
21,0.13813915259865059
22,0.020078218009871401
23,0.10086564054662565
24,0.024283067877843997
25,0.04076962259753595
26,0.006456209178669391
27,0.22264047520449506
28,-0.012040091931762085
29,0.1485008284139156
30,0.009342431905523375
31,0.13423361697355207
32,0.20833899330308792
33,0.076216892417247731
34,0.16222409653025233
35,-0.099168109158780493
36,0.1460334795397609
37,-0.019950099082848401
38,-0.028713690193838189
39,-0.036849157673629007
40,-0.014857993722654521
41,-0.15289808624551593
42,-0.073803086807457147
43,-0.017510870974129036
44,0.049540514525617835
45,-0.033257779043918398
46,-2.6920958554786699e-05
47,0.15575976042103751
48,0.038377176516030391
49,-0.064890538732193748
50,-0.01506957058085397
51,0.18385652375177675
52,0.23838688380985662
53,0.0066471091795991958
54,-0.0033652725653671479
55,0.037965049988348994
56,0.017682894082120718
57,-0.009931677060834183
58,-0.006355463101736682
59,0.002392037014661369
60,-0.014420399888897534
61,0.0049277620977883976
62,0.0075453345777094583
63,-0.0008852730593212968
64,-0.0087811655367644008
65,-0.023460420051071219
66,0.015242489654431663
67,0.15073280208939979
68,-0.015340490144384586
69,0.078138825198687881
70,-0.016607608237514955
71,-0.021470872851031511
72,-0.024550582190220514
73,-0.032489749512167709
74,0.030456325048571025
75,0.044985429982319247
76,0.15154305517727459
77,-0.046819196375211231
78,0.15362884120050802
79,0.01707355597474702
80,-0.0074855443530272639
81,-0.023695016294977569
82,-0.0081888621932010366
83,-0.098375834268822959
84,0.012382569565624165
85,-0.032151828386170589
86,0.099381330960108302
87,-0.013320278859915609
88,-0.00029121829260871784
89,-0.035245687048852573
90,-0.0078984863826331297
91,0.050836060282125971
92,0.091009580557419478
93,0.050058757456233824
94,-0.00032838915043251551
95,0.029871206850146156
96,-0.0076952006333727068
97,-0.087865610237066058
98,-0.061784299283981117
99,0.01774049930608225
100,0.0032692354899525912
101,0.034536584373022247
102,-0.060548663511422927
103,0.021697852336283525
104,-0.0099918311002079718
105,0.098268663823634486
106,0.0059138356118564614
107,-0.077945915872008498
108,0.1400308764029074
109,-0.018136430327358906
110,-0.07816301093276258
111,0.080156413631374268
112,-0.0013238781285555955
113,-0.02348067283535174
114,-0.046378744157510171
115,-0.036318967012521602
116,-0.01457192429317037
117,0.011099418661060191
118,0.077849307718956345
119,-0.021872419190261061
120,0.18796749808142565
121,0.090357643448968697
122,0.016036284818026714
123,0.0020648054477111835
124,0.022432858867258668
125,-0.00050848055294928809
126,-0.017896063538385278
127,-0.037104320320675531
128,-0.025926060033419872
129,-0.0054800395475622802
130,-0.047293859200749674
131,-0.051966716010661197
132,0.00444328384415053
133,0.072552120962053435
134,-0.03171078232213087
135,0.16511581134182601
136,0.10336879526663642
137,-0.057117061738594307
138,-0.01151953615623408
139,0.080813971901372045
