replicate,null_statistic
0,0.18005139077361676
1,0.030300650421197069
2,-0.068532435002466668
3,0.11912213397784885
4,0.058282433143337115
5,0.079211474948646873
6,0.047542583733367713
7,0.034181252499806442
8,-0.012084446362187577
9,-0.08174301315176033
10,0.052894416330328833
11,0.056426932181239023
12,-0.079987816712244697
13,-0.088741622514575999
14,-0.0065281525004766121
15,0.010141866373570334
16,0.0078283336159321627
17,0.049744365731643245
18,-0.028435734603009393
19,0.092874870622910416
20,-0.0064038083888171247
21,-0.05578741868358094
22,0.024251925037190404
23,-0.023594861977413444
24,-0.12577529702222345
25,-0.04448703783090717
26,0.0148356886357493
27,-0.036094929361698322
28,0.053129264297807899
29,0.031244590656505349
30,0.091454020961803037
31,-0.16273589032371694
32,0.035693785128856612
33,-0.045059409904447068
34,-0.059641494660801722
35,-0.030556229060408505
36,0.061007319823894665
37,0.20246188166383183
38,-0.10866148545724622
39,-0.065010423707519902
40,-0.019213259235324794
41,0.045852494213807896
42,0.13963671075980993
43,0.16646924173870009
44,-0.016317213745868697
45,0.021952269531021432
46,0.0040423987429906326
47,0.042162967301817789
48,-0.18649976385005521
49,0.077919841890896693
50,0.060465229735534066
51,-0.042160567192308485
52,-0.036560560895060795
53,-0.034997205019383928
54,0.053904402075029972
55,0.026594227278318776
56,-0.056120795545057764
57,-0.093413187190928892
58,0.041520961543883336
59,-0.031741091511239494
60,-0.011257364198740037
61,-0.048306658123698026
62,0.015078977941815959
63,-0.0704301295814561
64,-0.078103928996052202
65,0.25699807878431558
66,-0.054861604181503071
67,0.093943686558721345
68,-0.017034226025729737
69,0.068461263077325668
70,-0.038783248639722878
71,0.022959875400314959
72,0.019839253017569176
73,0.030281600368843441
74,0.042729849543194018
75,0.058584608315036035
76,-0.042682409771282667
77,0.10322350383099363
78,-0.033930535809106911
79,0.017371010477594675
80,0.061829867781349072
81,0.042228248008313082
82,0.19447418078308143
83,0.091112026185742392
84,-0.070112751033810566
85,0.07678094068850172
86,-0.029050965068768784
87,-0.030913621568443218
88,0.15668923497961579
89,-0.12496821078174394
90,0.027455834569995938
91,-0.010536230478728738
92,-0.054383833172902012
93,0.055164370440841652
94,1.1660203668235197e-05
95,-0.074672185037184147
96,0.0020940975870479368
97,-0.10346369475816017
98,0.008400035272589975
99,0.04720644993637145
100,-0.069295563395505549
101,-0.012540986130467561
102,-0.0052870722241543031
103,0.049319952937201796
104,-0.036890838886574462
105,-0.00046913588626533963
106,-0.01693300711083412
107,0.0084579726089917574
108,-0.046746284406902538
109,-0.052303018201433502
110,-0.056062573695172126
111,-0.069496084307683392
112,-0.017740119639863591
113,-0.15569028216832687
114,-0.014520129203179542
115,-0.12618362227244512
116,-0.042128622992908676
117,0.0073344191350251508
118,0.0027843725093442476
119,-0.098385958679810773
120,-0.024679717790020442
121,0.0068986027575551213
122,-0.034671084083566062
123,-0.062240079319768452
124,0.037312842526212697
125,0.00038532177824184347
126,-0.053070581293553271
127,0.036194444670257772
128,0.094251500699037344
129,0.013041672264713401
130,0.059905572167338661
131,0.0070307063737025423
132,0.089645640297511348
