target_subject,split,source_subjects,calibration_runs,evaluation_runs,source_n,calibration_n,evaluation_n,source_target_disjoint,calibration_evaluation_uid_disjoint,evaluation_window_trial_uids_exact,target_labels_used_for_center,passed
1,A,"[2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]","[3, 4, 5]",2304,144,144,True,True,True,False,True
1,B,"[2, 3, 4, 5, 6, 7, 8, 9]","[3, 4, 5]","[0, 1, 2]",2304,144,144,True,True,True,False,True
2,A,"[1, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]","[3, 4, 5]",2304,144,144,True,True,True,False,True
2,B,"[1, 3, 4, 5, 6, 7, 8, 9]","[3, 4, 5]","[0, 1, 2]",2304,144,144,True,True,True,False,True
3,A,"[1, 2, 4, 5, 6, 7, 8, 9]","[0, 1, 2]","[3, 4, 5]",2304,144,144,True,True,True,False,True
3,B,"[1, 2, 4, 5, 6, 7, 8, 9]","[3, 4, 5]","[0, 1, 2]",2304,144,144,True,True,True,False,True
4,A,"[1, 2, 3, 5, 6, 7, 8, 9]","[0, 1, 2]","[3, 4, 5]",2304,144,144,True,True,True,False,True
4,B,"[1, 2, 3, 5, 6, 7, 8, 9]","[3, 4, 5]","[0, 1, 2]",2304,144,144,True,True,True,False,True
5,A,"[1, 2, 3, 4, 6, 7, 8, 9]","[0, 1, 2]","[3, 4, 5]",2304,144,144,True,True,True,False,True
5,B,"[1, 2, 3, 4, 6, 7, 8, 9]","[3, 4, 5]","[0, 1, 2]",2304,144,144,True,True,True,False,True
6,A,"[1, 2, 3, 4, 5, 7, 8, 9]","[0, 1, 2]","[3, 4, 5]",2304,144,144,True,True,True,False,True
6,B,"[1, 2, 3, 4, 5, 7, 8, 9]","[3, 4, 5]","[0, 1, 2]",2304,144,144,True,True,True,False,True
7,A,"[1, 2, 3, 4, 5, 6, 8, 9]","[0, 1, 2]","[3, 4, 5]",2304,144,144,True,True,True,False,True
7,B,"[1, 2, 3, 4, 5, 6, 8, 9]","[3, 4, 5]","[0, 1, 2]",2304,144,144,True,True,True,False,True
8,A,"[1, 2, 3, 4, 5, 6, 7, 9]","[0, 1, 2]","[3, 4, 5]",2304,144,144,True,True,True,False,True
8,B,"[1, 2, 3, 4, 5, 6, 7, 9]","[3, 4, 5]","[0, 1, 2]",2304,144,144,True,True,True,False,True
9,A,"[1, 2, 3, 4, 5, 6, 7, 8]","[0, 1, 2]","[3, 4, 5]",2304,144,144,True,True,True,False,True
9,B,"[1, 2, 3, 4, 5, 6, 7, 8]","[3, 4, 5]","[0, 1, 2]",2304,144,144,True,True,True,False,True
